   00110960   |K  :  G
   000000763117| V   :   V
 0622852   |J  :J
 000000330206|  S:S
-0000072305 |Z: H
0989692 |S :   S
 0131378| U:U
  0741780  |T  : T
  000000340887|  H  :H
-0739246   |M :  M
-000000470055 |  A   : K
-0000074461 |Q  :   Q
 00000499460  |A:  A
   635366  |  Z: M
   000293195 |   C : V

-0659873   | P   : P

 -00000935566  |Y   :K
  -00001  |  H:  T
  69185| Q  :Q
  00853179  |V   :  V
   0710616| Q   :  Q
 000000768771 |   W   :   W

  00666477   |  U  : U
 -0000448367   |  Z   :Z
 604106   |  X   :X
   -000000463418| D :D
  -0822473   | K :X
0000286775 |  J   :U
  0000494605|N:N

-000935823 |   Z  :  Z
  -000178154  | B:D
  1  | S :  S
0000593797  |M:  S

000369992|   M  :M
  0460193  |  T:P
 00000658918| V  : V
   0270653 |   Y  :   Y
  0000210679  | K   : K
000140593 |  I   :I
00000409704 |  I: I
00170333   |   H: H
000000224895|M  :   M
 00000910190 |M : B
 0498653|O: H
 00629806 | D  : D
  00927057   |   W  :W

0000175840|D:D

  00000114682 |   R   :F
0000930295   |  G :G
 00000427707| I :  I
 0000162646 |  N  : N
 00860581| G:G
0000000  |A :   A
   000466277   |  C   :   C
0000822775  | M   :M
 0001 | J  :L
   -000368942   | I :  I
  -00875697   |  Y:   Y

   897507|   O  :  O
  0597489  | X   :   X
   351135| M :   I
  796079| L :   L
-00000351104  |O  : O
   00000570258 |  M:   M
 000000418479   |  T   :  Z
 -0764976|   L : L
-201881 |   A  : A
00000664507   |D   : D
0739436|   Y  :  E
 994618  |B   :B
00000202192|  U   : U
   0672767|   U  :U
140969| P :  P
   000721289   | H   :   U
000000128988 | A :A
   000850142|O:L

   000000449896   |B  :  B
   378792  |   G  :   G
   0110423  |  J   : J
  000610931| O   :O
 00083489  |   O   :   O
00000 |D:   D
  0000881893 | O :V
  -000342308   |  P:P
  -000295133 |B :  T
 184094  |   N:   N
 -00873711   |  Y  : N
 0000512934|  C : B
0850173   |  P :  P
 00000226092   |   Y   :   R
   00   | W  :  W
 -00000514170|  M   :  M
  000008728 |   J  :J
 732873  | X:X

  0364931 |B  :  B
  0000645421   |C:  S
  0255808  | Q   :P
0406853 | R   :   J
   -684723   |  H :   H
   00873355   | T:T

  000465628   |   A:   A
0593739 |D  : K
000000950350   |   W  : M
  00447134| E: E
   00807881|  M   :M

   -000000589329| T: L
  00000110083  |G  :G
   00197974|  A  :A
  0155429   |   Y   :   D
00000449786  |   G :W
  -00000301667  |   D   :E
   000000532994  |   S   : S
